respondent_id,dna_segment,monthly_income_midpoint,age_group,city_tier,gender,occupation,openness_score,conscientiousness_score,extraversion_score,agreeableness_score,neuroticism_score,stress_score,life_stage,current_mood,reader_identity,personalization_importance,books_per_month,reads_morning,reads_commute,reads_afternoon,reads_evening,reads_latenight,reads_weekend,reading_motivation,genre_fantasy,genre_selfhelp,genre_literary,genre_romance,genre_thriller,genre_biography,genre_business,discovery_social,discovery_friends,discovery_apps,social_sharing_level,format_preference,interest_books,interest_journal,interest_bookmark,interest_candle,interest_tote,interest_apparel,interest_decor,interest_annotation,interest_pin,subscription_interest,eco_importance,gifting_behaviour,barrier_price,barrier_quality,barrier_trust,barrier_delivery,barrier_privacy,barrier_platform,trust_driver,discount_preference,psm_too_cheap,psm_bargain,psm_expensive_ok,psm_too_expensive,max_single_spend,lifestyle_spend,monthly_book_spend,shops_amazon,shops_flipkart,shops_d2c,shops_instagram,shops_offline,payment_method,impulse_buying,nps_proxy,switching_tendency,platform_interest,share_intent,reading_habit_status,purchase_intent,will_buy,format_class,data_quality_flag
BDNA0001,Productivity Achiever,30000,3,4,1,2,3,5,3,3,2,4,3,2,5,4,8.0,1,0,0,0,0,1,3,0,1,0,0,0,1,1,1,1,1,3,4,1,1,1,0,0,1,0,1,1,1,1,2,0,0,0,0,1,0,5,3,351,853.0,1300,1903,1500,2250,750,1,0,0,0,0,1,4,7,2,2,1,2,3,0,3,clean
BDNA0002,Non-Reader,15000,6,5,1,3,3,2,4,4,2,8,7,4,3,3,0.0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,1,0,4,3,2,0,0,0,0,0,0,5,2,148,341.0,391,724,350,250,100,0,1,0,0,0,1,4,6,3,4,5,4,5,0,1,clean
BDNA0003,Curious Explorer,30000,2,3,1,3,4,3,4,4,4,8,2,3,3,5,5.0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,1,0,1,2,3,0,1,0,1,0,0,0,1,0,1,3,2,0,1,0,0,1,0,1,2,299,576.0,792,1198,750,2250,750,0,1,1,1,0,1,2,10,1,3,2,1,1,1,2,clean
BDNA0004,Emotional Reader,60000,5,4,2,3,2,4,2,3,4,11,7,3,3,5,5.0,1,0,1,1,0,0,6,0,0,1,0,1,1,0,1,1,1,4,1,0,1,1,1,0,1,1,0,1,3,2,2,1,0,0,1,0,1,2,3,472,1051.0,1767,2369,1500,2250,350,1,0,0,0,0,3,3,6,3,1,2,2,2,1,1,clean
BDNA0005,Midnight Escapist,5000,3,4,1,1,3,2,3,5,5,7,1,3,5,5,5.0,1,0,1,0,1,1,1,1,0,0,1,1,0,0,0,0,0,3,2,1,0,1,1,0,0,0,0,0,2,3,3,1,0,0,0,0,1,2,1,91,237.0,441,702,150,250,100,1,1,0,0,0,1,2,8,3,1,2,1,2,1,1,clean
BDNA0006,Midnight Escapist,60000,3,1,1,2,3,4,3,4,5,10,3,4,6,3,2.5,0,1,0,0,0,0,1,1,0,1,1,1,0,0,1,1,0,2,1,1,1,1,1,0,0,0,0,0,1,1,2,0,1,0,0,0,0,5,1,323,760.0,1238,1668,2500,2250,750,0,0,0,0,0,1,3,6,2,2,2,2,3,0,1,clean
BDNA0007,Midnight Escapist,100000,3,4,2,2,4,2,2,5,5,11,6,1,1,5,5.0,1,1,0,0,1,1,6,1,0,0,0,1,1,0,0,0,1,4,2,1,0,0,0,0,1,1,1,0,1,2,2,0,0,1,0,0,0,1,2,527,1098.0,1831,2332,2500,4500,1500,0,0,0,0,0,1,3,5,4,2,2,2,1,1,1,clean
BDNA0008,Curious Explorer,60000,3,2,2,2,5,3,5,3,3,7,2,4,2,4,2.5,1,1,0,1,0,1,1,0,1,1,0,1,0,1,1,0,1,3,1,1,1,0,1,0,0,0,0,1,2,4,3,0,1,1,0,0,0,3,6,247,667.0,1151,1558,1500,2250,1500,1,0,0,1,0,1,1,5,1,3,2,4,4,0,1,clean
BDNA0009,Emotional Reader,15000,5,2,2,2,4,4,2,4,4,10,3,4,3,3,5.0,1,0,1,1,0,1,5,1,0,1,1,1,0,0,1,0,0,3,1,1,0,1,0,1,0,0,0,0,3,3,2,1,0,0,0,0,0,1,2,214,459.0,738,1076,750,1000,350,1,1,1,1,1,1,2,10,1,4,5,3,5,0,1,clean
BDNA0010,Curious Explorer,15000,6,1,1,2,4,3,5,4,2,6,4,4,4,3,2.5,0,1,0,0,0,1,2,1,0,0,1,0,0,0,1,0,1,2,1,0,1,1,0,1,1,0,1,1,2,3,2,1,0,0,1,0,0,1,4,191,423.0,722,962,150,250,350,0,0,1,1,0,1,2,7,1,2,1,1,3,0,1,clean
BDNA0011,Midnight Escapist,30000,2,2,1,2,2,3,2,3,3,7,4,5,6,3,5.0,0,0,0,0,1,1,5,1,0,1,1,1,0,0,1,0,0,4,1,1,1,0,1,1,0,0,0,0,2,4,1,0,1,0,0,0,1,1,5,121,559.0,910,1338,1500,2250,350,0,0,1,0,0,1,2,7,1,3,1,2,2,1,1,clean
BDNA0012,Non-Reader,5000,7,2,1,2,3,2,3,3,1,4,3,5,6,2,2.5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,4,0,1,0,0,0,0,0,0,0,4,2,4,0,1,0,1,0,0,6,5,180,284.0,529,729,150,250,100,1,0,0,0,1,4,3,4,2,5,5,4,5,0,3,clean
BDNA0013,Curious Explorer,5000,3,3,2,1,5,4,3,3,2,3,5,4,5,5,2.5,0,0,1,0,1,0,2,1,1,0,0,0,0,1,0,1,0,1,3,1,1,1,0,0,0,0,1,1,2,3,1,0,0,1,0,1,0,1,2,157,252.0,486,566,150,250,100,1,0,1,1,0,5,1,8,1,5,1,1,2,1,2,clean
BDNA0014,Midnight Escapist,15000,4,2,1,6,3,2,3,5,3,8,3,5,6,4,2.5,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,1,1,3,2,0,1,1,1,0,1,1,0,0,2,2,2,1,1,1,0,0,1,2,3,296,479.0,846,1150,750,250,350,1,0,0,0,1,1,2,9,2,1,2,4,2,1,1,clean
BDNA0015,Midnight Escapist,30000,3,3,1,3,2,1,3,4,4,7,1,1,2,4,8.0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,2,2,1,1,1,0,0,1,0,0,1,2,1,2,0,0,1,0,0,0,5,3,327,500.0,709,1206,750,2250,350,1,1,1,1,0,2,1,7,1,1,1,4,1,1,1,clean
BDNA0016,Midnight Escapist,15000,2,2,2,2,2,2,3,5,3,6,2,3,3,4,2.5,0,0,0,1,1,1,1,1,0,1,0,0,0,0,1,1,0,2,1,1,1,0,1,1,1,0,0,0,2,3,1,0,0,1,0,0,0,1,2,177,426.0,756,1039,350,1000,100,1,1,0,0,0,1,1,6,2,2,1,1,2,1,1,clean
BDNA0017,Productivity Achiever,60000,5,3,1,2,3,5,3,4,3,7,5,4,2,4,5.0,0,1,1,0,0,0,4,0,1,0,0,0,1,1,0,1,1,2,2,1,1,0,0,0,1,1,0,0,3,3,1,0,0,0,0,0,0,2,4,513,1089.0,1633,2606,2500,4500,1500,0,1,1,0,0,1,3,4,1,3,2,4,4,0,1,clean
